O3_+_hv_=>_O_+_O_+_O.txt
wavelength          200K                225K                250K                275K                300K                
1.37740000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.37930000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.38120000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.38310000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.38500000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.38700000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.38890000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.39080000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.39280000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.39470000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.39660000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.39860000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.40060000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.40250000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.40450000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.40650000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.40850000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.41040000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.41240000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.41440000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.41640000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.41840000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.42050000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.42250000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.42450000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.42650000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.42860000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
