C2H2 + hv => C2H + H
wavelength (nm)   quantum yield
1.0000e-01        0.0000e+00     
5.0000e-01        0.0000e+00     
1.0000e+00        0.0000e+00     
1.5000e+00        0.0000e+00     
2.0000e+00        0.0000e+00     
2.5000e+00        0.0000e+00     
3.0000e+00        0.0000e+00     
3.5000e+00        0.0000e+00     
4.1000e+00        0.0000e+00     
4.3000e+00        0.0000e+00     
5.0000e+00        0.0000e+00     
6.0000e+00        0.0000e+00     
7.0000e+00        0.0000e+00     
8.0000e+00        0.0000e+00     
9.0000e+00        0.0000e+00     
1.0000e+01        0.0000e+00     
1.2000e+01        0.0000e+00     
1.5000e+01        0.0000e+00     
2.0000e+01        0.0000e+00     
2.5000e+01        0.0000e+00     
3.0000e+01        0.0000e+00     
4.0000e+01        0.0000e+00     
5.0000e+01        0.0000e+00     
6.0000e+01        0.0000e+00     
6.2000e+01        0.0000e+00     
6.4000e+01        0.0000e+00     
6.6000e+01        0.0000e+00     
6.8000e+01        0.0000e+00     
6.9700e+01        0.0000e+00     
7.0000e+01        2.6092e-03     
7.2000e+01        2.0000e-02     
7.4000e+01        1.2000e-01     
7.6000e+01        2.6067e-01     
7.8000e+01        2.5979e-01     
8.0000e+01        2.0000e-01     
8.2000e+01        1.7011e-01     
8.4000e+01        1.9000e-01     
8.6000e+01        2.8000e-01     
8.8000e+01        3.2000e-01     
9.0000e+01        3.3889e-01     
9.2000e+01        3.1026e-01     
9.4000e+01        2.2000e-01     
9.6000e+01        1.8985e-01     
9.8000e+01        1.9000e-01     
1.0000e+02        2.1000e-01     
1.0500e+02        1.7991e-02     
1.0600e+02        6.5966e-02     
1.0750e+02        2.1984e-01     
1.0850e+02        2.0982e-01     
1.0860e+02        3.0000e-01     
1.0870e+02        2.9915e-01     
1.0910e+02        3.0000e-01     
1.0940e+02        3.0000e-01     
1.1000e+02        3.0000e-01     
1.1010e+02        3.0000e-01     
1.1020e+02        2.9977e-01     
1.1060e+02        3.0000e-01     
1.1110e+02        3.0000e-01     
1.1140e+02        3.0000e-01     
1.1160e+02        3.0000e-01     
1.1200e+02        2.9921e-01     
1.1220e+02        3.0025e-01     
1.1260e+02        2.9977e-01     
1.1290e+02        3.0000e-01     
1.1320e+02        2.9978e-01     
1.1360e+02        2.9983e-01     
1.1420e+02        2.9859e-01     
1.1450e+02        3.0088e-01     
1.1490e+02        3.0000e-01     
1.1520e+02        3.0000e-01     
1.1560e+02        3.0000e-01     
1.1590e+02        3.0000e-01     
1.1620e+02        3.0045e-01     
1.1650e+02        3.0000e-01     
1.1670e+02        3.0000e-01     
1.1690e+02        2.9979e-01     
1.1710e+02        2.9973e-01     
1.1740e+02        3.0000e-01     
1.1770e+02        3.0000e-01     
1.1790e+02        3.0000e-01     
1.1840e+02        2.9980e-01     
1.1920e+02        3.0000e-01     
1.1980e+02        2.9947e-01     
1.2040e+02        3.0000e-01     
1.2110e+02        3.0000e-01     
1.2160e+02        2.9935e-01     
1.2190e+02        3.0000e-01     
1.2210e+02        2.9963e-01     
1.2240e+02        2.9895e-01     
1.2310e+02        2.9946e-01     
1.2360e+02        2.9907e-01     
1.2440e+02        3.0000e-01     
1.2470e+02        3.0000e-01     
1.2490e+02        3.0000e-01     
1.2520e+02        3.0000e-01     
1.2560e+02        3.0000e-01     
1.2580e+02        3.0000e-01     
1.2630e+02        3.0000e-01     
1.2660e+02        3.0000e-01     
1.2700e+02        3.0000e-01     
1.2760e+02        3.0000e-01     
1.2840e+02        3.0046e-01     
1.2870e+02        3.0000e-01     
1.2890e+02        2.9961e-01     
1.2940e+02        3.0000e-01     
1.2980e+02        3.0063e-01     
1.3010e+02        2.9870e-01     
1.3080e+02        3.0000e-01     
1.3100e+02        3.0000e-01     
1.3180e+02        3.0000e-01     
1.3200e+02        2.9978e-01     
1.3240e+02        3.0047e-01     
1.3280e+02        2.9921e-01     
1.3300e+02        3.0013e-01     
1.3330e+02        3.0093e-01     
1.3380e+02        3.0000e-01     
1.3400e+02        3.0000e-01     
1.3480e+02        3.0000e-01     
1.3520e+02        3.0024e-01     
1.3590e+02        2.9967e-01     
1.3620e+02        3.0000e-01     
1.3660e+02        3.0053e-01     
1.3740e+02        2.9899e-01     
1.3780e+02        2.9907e-01     
1.3880e+02        3.0000e-01     
1.3970e+02        3.0000e-01     
1.4020e+02        2.9938e-01     
1.4090e+02        3.0000e-01     
1.4280e+02        3.0000e-01     
1.4380e+02        3.0000e-01     
1.4440e+02        3.0057e-01     
1.4610e+02        3.0000e-01     
1.4780e+02        2.9460e-01     
1.4880e+02        2.8865e-01     
1.5040e+02        2.7893e-01     
1.5200e+02        2.6777e-01     
1.5290e+02        2.6268e-01     
1.5500e+02        2.4907e-01     
1.5510e+02        2.4910e-01     
1.5630e+02        2.4040e-01     
1.5760e+02        2.3301e-01     
1.5820e+02        2.2932e-01     
1.5910e+02        2.2269e-01     
1.5980e+02        2.1886e-01     
1.6080e+02        2.1262e-01     
1.6160e+02        2.0799e-01     
1.6300e+02        1.9860e-01     
1.6380e+02        1.9415e-01     
