   alt                        press                      den                        temp                       eddy                       S8aer                      HCaer1                     HCaer2                     HCaer3                     H                          H2                         H2O                        OH                         O                          O2                         CO                         CO2                        HCO                        H2CO                       C                          CH                         CH2                        CH3                        CH4                        S                          S2                         S3                         S4                         H2S                        HS                         SO                         SO2                        CS                         CS2                        OCS                        CN                         HCN                        N                          NH                         NH2                        NH3                        C2                         C2H                        C2H2                       C2H4                       NO                         HNO                        HO2                        HNCO                       N2O                        H2O2                       O3                         NO2                        NO3                        SO3                        HNO2                       HNO3                       H2SO4                      HCl                        Cl                         Cl2                        HOCl                       N2H4                       ClO                        C2H6                       CH3OH                      CH2CO                      CH3CHO                     C3H4                       C3H6                       C4H2                       C4H4                       OClO                       HCS                        C2H3                       C2H5                       NCO                        1CH2                       HCCO                       NNH                        HSO                        CH3O                       H2COH                      H2CN                       N2H2                       C4H                        HCNOH                      C2H2OH                     CH3CO                      CH2CHO                     C2H3OH                     C2H4OH                     CH3O2                      HSO3                       N2H3                       NH2CO                      HS4                        C4H3                       CH2N2                      CH2CN                      CH3CN                      HCCCN                      S8aer_r                    HCaer1_r                   HCaer2_r                   HCaer3_r                   
   3.50000000000000000E+000   1.27319186005409568E+000   1.01054628505645810E+020   9.12545149094149082E+001   1.94502022115257955E+003   9.99999999999999929E-041   7.00915216365828486E-014   5.37556096526216683E-015   5.95969464571346293E-016   2.41594966582601456E-018   4.33820970576599685E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96154063960867358E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.52002301675341245E-016   5.00000000000000028E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.58500572813261535E-040   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.04699886703849302E-010   5.81399142796215347E-032   1.20051100982006705E-028   9.01132062022253366E-018   8.39486712640380801E-013   9.99999999999999929E-041   1.03463283063899055E-027   2.11009307864225434E-009   8.18295646826356817E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.39731043243195425E-017   9.99999999999999929E-041   1.66341746402394117E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47873872570848887E-013   1.54172133502637985E-011   1.44148723809036739E-009   1.00346149877378560E-015   9.99999999999999929E-041   9.99999999999999929E-041   2.58349832725042396E-017   2.69518563746999575E-014   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.46023734348011628E-022   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.73053862965638208E-029   3.49675851819896460E-015   8.74534935267288625E-021   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.29237564304690303E-019   9.89580376980758337E-038   9.99999999999999929E-041   5.49057718411565210E-015   9.99999999999999929E-041   4.37711660388635201E-026   1.87488985114309946E-008   2.02255319553819909E-011   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
   1.05000000000000000E+001   9.08457162955631836E-001   7.73441842141225779E+019   8.50733447282447344E+001   1.93921369667313820E+003   9.99999999999999929E-041   3.58852640001855764E-013   2.75218666804215174E-014   3.05101696939903134E-015   9.11002688538469114E-017   4.33825332023724808E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96154006603562064E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.95583930103702200E-015   5.00000928065360978E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.58109186010055502E-040   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.95027041415328818E-010   4.78619417118120723E-030   1.52050998882614426E-027   2.33233943085879833E-017   8.39867855099412477E-013   9.99999999999999929E-041   4.60436982090398145E-026   8.19531438975359222E-009   8.18327573737017483E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   8.76510154097547971E-018   9.99999999999999929E-041   1.66341656320578742E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47872574389841628E-013   1.54223619584538651E-011   1.44150019215197287E-009   1.53885804302917271E-015   9.99999999999999929E-041   9.99999999999999929E-041   5.65382481778821019E-017   1.33043365020697489E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   8.36046467667253560E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.14823808332719415E-028   3.31796716505714535E-015   3.57788385806266412E-019   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.77341435900031224E-019   9.89577412870414138E-038   9.99999999999999929E-041   2.60152646737094525E-015   9.99999999999999929E-041   2.80602264877987704E-027   1.87488575809393919E-008   7.85537258251220196E-011   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
   1.75000000000000000E+001   6.35049910881530399E-001   5.73111285605213143E+019   8.02574979110979143E+001   1.93342674093343362E+003   9.99999999999999929E-041   7.43205726705649530E-013   5.70153993378999809E-014   6.30297996423639578E-015   5.21115834947417328E-016   4.33831624196703083E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96153917853867102E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.91818336874960731E-014   5.00002228098765308E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.57663382006677957E-040   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.58124985940809095E-009   2.63678076322770201E-029   3.56334242760769828E-027   2.90263942949205687E-017   8.42444518607875160E-013   9.99999999999999929E-041   1.96910045168155350E-025   1.62993902731428546E-008   8.18724999419275847E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.41114680361704650E-018   9.99999999999999929E-041   1.66341526265198700E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47870671745651277E-013   1.56676590471742963E-011   1.44172874546090963E-009   2.02439095212093456E-015   9.99999999999999929E-041   9.99999999999999929E-041   8.31887790715934706E-017   2.51479479472020266E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.81014605153118746E-019   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.71253349154851045E-027   2.48024403870546418E-015   2.38818167459682377E-018   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.03516520583129921E-019   9.89572665859219019E-038   9.99999999999999929E-041   1.30051598783256839E-015   9.99999999999999929E-041   2.25043788253158963E-028   1.87487968328778678E-008   1.56239152472560914E-010   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
   2.45000000000000000E+001   4.36643487290258092E-001   4.11143559913023652E+019   7.69219370755370733E+001   1.92765946975709699E+003   9.99999999999999929E-041   1.27120497043918189E-012   9.75845977321050120E-014   1.06817765163819104E-014   2.09340070318827870E-015   4.33840781709080164E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96153783066489231E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.98589260621608992E-014   5.00004086644144363E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.57280410431745746E-040   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.66282018490280091E-009   1.05766337960830838E-028   7.52987302212170512E-027   3.69218888605955037E-017   8.48353738905540967E-013   9.99999999999999929E-041   6.29043673863021907E-025   2.74466406069059974E-008   8.19987669477406232E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.74263751426038569E-018   9.99999999999999929E-041   1.66341331661431988E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47867875302549821E-013   1.67370320763943343E-011   1.44249932015356195E-009   2.54142209230304451E-015   9.99999999999999929E-041   9.99999999999999929E-041   1.35963740276757636E-016   4.17624092771088222E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.82171358861509828E-019   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.82445352874610183E-027   1.45043971171090028E-015   1.08304404861518288E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.10692151483193558E-020   9.89565316954717465E-038   9.99999999999999929E-041   7.67813980822556921E-016   9.99999999999999929E-041   3.56193463234332072E-029   1.87487068402679965E-008   2.63109683812602576E-010   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
   3.15000000000000000E+001   2.96669696745748779E-001   2.88053566229972337E+019   7.45961903771903678E+001   1.92190709402042739E+003   9.99999999999999929E-041   2.01645532959449373E-012   1.54971398107172985E-013   1.65519710375504998E-014   6.65477003263382735E-015   4.33854224393978097E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96153579764491231E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.67454592497455417E-014   5.00006787840799397E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.57106620128810661E-040   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.19294801935607582E-009   3.56956918961065895E-028   1.54832884419698191E-026   4.87853655710615455E-017   8.59464123063133183E-013   9.99999999999999929E-041   1.81113297210600052E-024   4.32143082282643261E-008   8.22954165441072993E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.86895547837649934E-018   9.99999999999999929E-041   1.66341033570910554E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47863744222376139E-013   1.92935381461318813E-011   1.44436201666416243E-009   3.03778322178243796E-015   9.99999999999999929E-041   9.99999999999999929E-041   2.34287570487999809E-016   6.47654774606262131E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.43443748927601147E-019   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.08985232261581712E-026   7.48036617670688536E-016   3.81403196967780210E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.58462056995907935E-020   9.89554102677123542E-038   9.99999999999999929E-041   5.18514857027455487E-016   9.99999999999999929E-041   1.22090420696752685E-029   1.87485732054250617E-008   4.14303594589321778E-010   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
   3.85000000000000000E+001   2.00175673477975130E-001   1.97374102296184955E+019   7.34577882387882397E+001   1.91616917853763903E+003   9.99999999999999929E-041   3.09169354005884016E-012   2.38026976990498837E-013   2.41606829189699763E-014   1.69503817581425138E-014   4.33874087094046901E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96153273747185347E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.37669014295134040E-013   5.00010756885769167E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.57203609302427126E-040   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.40791722192526201E-009   1.05122092281352301E-027   3.15574455047122320E-026   6.55650767302916858E-017   8.78931247153512969E-013   9.99999999999999929E-041   5.02316644506197263E-024   6.60327262020452886E-008   8.28858921702803541E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.32166054674263951E-018   9.99999999999999929E-041   1.66340574105378128E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47857613604442187E-013   2.37277316995979394E-011   1.44818409447110775E-009   3.61883024867364756E-015   9.99999999999999929E-041   9.99999999999999929E-041   4.26789042097772499E-016   9.75035893308062709E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.40905765686631765E-019   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.26127659443489357E-026   4.39670126360344266E-016   9.66810642028398400E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.93833038023510338E-020   9.89537091858870857E-038   9.99999999999999929E-041   4.25225861833600052E-016   9.99999999999999929E-041   1.32374760677234551E-029   1.87483741556919120E-008   6.33161115611099134E-010   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
   4.55000000000000000E+001   1.35017785089443260E-001   1.32745768866298962E+019   7.36693790616271258E+001   1.91044845586488009E+003   9.99999999999999929E-041   4.67335209317870403E-012   3.60703547364215178E-013   3.34202610835103946E-014   3.58617599389596439E-014   4.33903529378259975E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96152813396259926E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.33934040005131734E-013   5.00016613598468079E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.57472960582163654E-040   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.68041480691376866E-009   2.78873708510024615E-027   6.42027942760050958E-026   8.66071685684673735E-017   9.11916405981595604E-013   9.99999999999999929E-041   1.37824031533200484E-023   9.97301011784463660E-008   8.39233995918416984E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.63612651768983895E-018   9.99999999999999929E-041   1.66339874017340655E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47848494292128186E-013   2.96768543508314163E-011   1.45530977178039958E-009   4.64031482142754772E-015   9.99999999999999929E-041   9.99999999999999929E-041   8.19299328263744899E-016   1.48140682687849913E-012   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.04822722922464338E-019   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.72058285050522620E-026   3.25998847813043902E-016   1.64420424339430745E-016   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.62349137543565702E-020   9.89511348036867519E-038   9.99999999999999929E-041   4.44188298936696394E-016   9.99999999999999929E-041   3.04958724177937921E-029   1.87480771636284896E-008   9.56477520694962518E-010   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
   5.25000000000000000E+001   9.17754504639390761E-002   8.79229607228286669E+018   7.56033323197680573E+001   1.90474489137387877E+003   9.99999999999999929E-041   7.03695910074208100E-012   5.44980215817771038E-013   4.37491564925625438E-014   6.50062758764656638E-014   4.33947069794847692E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96152122614097277E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.84162740749505644E-013   5.00025224038452426E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.57783666743733601E-040   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.45980216105439585E-008   6.90024415025626189E-027   1.32621829731482250E-025   1.09562722343696951E-016   9.66499357361988231E-013   9.99999999999999929E-041   3.78898281011840911E-023   1.50330679054465249E-007   8.55708819765241998E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.43643790473187371E-018   9.99999999999999929E-041   1.66338832927112150E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47834960179943482E-013   3.58126446282770773E-011   1.46784337383556587E-009   7.00629518599035368E-015   9.99999999999999929E-041   9.99999999999999929E-041   1.66571101169123339E-015   2.34412260775241647E-012   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.06008004149605965E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.05590911843414829E-025   2.73929392063411743E-016   1.72274419453425992E-016   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.33415801437331974E-020   9.89472493500474234E-038   9.99999999999999929E-041   6.28118824179016731E-016   9.99999999999999929E-041   1.08383142522865208E-028   1.87476350272612290E-008   1.44220965297205210E-009   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
   5.95000000000000000E+001   6.38095349587194660E-002   5.62819312640511898E+018   8.21170435996436083E+001   1.89906055316839161E+003   9.99999999999999929E-041   1.06527688173364089E-011   8.28679785927035223E-013   5.44269701477468801E-014   9.06498192791033917E-014   4.34010810841960540E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96151089937037328E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.08806093616343764E-013   5.00037711235936030E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.58097338601457340E-040   9.99999999999999929E-041   9.99999999999999929E-041   2.47476508630084887E-040   2.21724568057834500E-008   1.73205331898718214E-026   3.12735298210256537E-025   1.26589517254163002E-016   1.05603778012638656E-012   9.99999999999999929E-041   1.09066659284255566E-022   2.28187679165698099E-007   8.80158429149156394E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.13266698627810311E-018   9.99999999999999929E-041   1.66337330922742624E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47815041755768746E-013   4.11698998602505744E-011   1.48941287023606752E-009   1.61481872926149373E-014   9.99999999999999929E-041   9.99999999999999929E-041   4.23187267417128287E-015   4.17165154551310698E-012   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   8.87009174208346176E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.14169210974193209E-025   2.44365523742084947E-016   6.17679926703912881E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.96118124607930513E-020   9.89413934690772136E-038   9.99999999999999929E-041   1.77453670084413761E-015   9.99999999999999929E-041   2.01137567098639075E-027   1.87469814454952048E-008   2.19000329016883217E-009   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
   6.65000000000000000E+001   4.62441693337375045E-002   3.52661587891937894E+018   9.49763644589644542E+001   1.89339621590528509E+003   9.99999999999999929E-041   1.63316583654576172E-011   1.27768545456267614E-012   6.65866380459268220E-014   9.07293526298197044E-014   4.34101713904899086E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.96149563891942454E-033   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   8.91646308015414494E-013   5.00055292094838053E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.58279829440565742E-040   9.99999999999999929E-041   9.99999999999999929E-041   5.98817625847332338E-038   3.41666530865233264E-008   6.41649860368687698E-026   1.17623312945381434E-024   1.39857442757969187E-016   1.20264320467877552E-012   9.99999999999999929E-041   3.19064081570152757E-022   3.51329400515732160E-007   9.17443100027069966E-007   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.69739779680177244E-018   9.99999999999999929E-041   1.66335204858766850E-002   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.47786371099646751E-013   5.53209349142264494E-011   1.52879771050704235E-009   4.94978566808056777E-014   9.99999999999999929E-041   9.99999999999999929E-041   1.76210304515539272E-014   7.94251849604235629E-012   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.01324106296347495E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.66339152329154015E-024   2.51280292211981420E-016   8.66076287350239649E-018   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.97788707312734118E-020   9.89326244782721069E-038   9.99999999999999929E-041   9.27172592306065058E-015   9.99999999999999929E-041   7.74726209052909545E-025   1.87460336715370960E-008   3.37305740084471263E-009   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008   9.99999999999999955E-008
