N2
wavelength (nm)   cross section (cm2/molecule)
8.2450e+01        1.1900e-17     
8.2490e+01        1.3800e-17     
8.2520e+01        1.4900e-18     
8.2570e+01        2.4600e-17     
8.2600e+01        1.6700e-17     
8.2640e+01        8.1900e-18     
8.2800e+01        7.5600e-19     
8.2850e+01        7.3700e-18     
8.2860e+01        4.8400e-18     
8.2930e+01        3.3500e-18     
8.3150e+01        3.0100e-19     
8.3200e+01        3.6100e-18     
8.3300e+01        5.5000e-19     
8.3350e+01        7.2600e-18     
8.3410e+01        5.5800e-18     
8.3450e+01        1.9400e-18     
8.3500e+01        1.8400e-17     
8.3510e+01        2.6400e-17     
8.3650e+01        1.0900e-18     
8.3740e+01        1.6400e-17     
8.3750e+01        1.6400e-17     
8.4000e+01        1.9700e-18     
8.4080e+01        2.1600e-17     
8.4090e+01        3.0100e-17     
8.4150e+01        1.3000e-17     
8.4200e+01        2.2300e-17     
8.4220e+01        2.9400e-17     
8.4290e+01        1.1900e-17     
8.4350e+01        1.1200e-18     
8.4410e+01        2.9400e-17     
8.4420e+01        2.1200e-17     
8.4620e+01        7.4400e-19     
8.4690e+01        5.5100e-18     
8.4700e+01        2.9800e-18     
8.4820e+01        4.0900e-19     
8.4970e+01        1.9700e-17     
8.5000e+01        2.8500e-17     
8.5010e+01        3.7200e-17     
8.5250e+01        1.1500e-18     
8.5280e+01        2.6800e-18     
8.5350e+01        3.3500e-17     
8.5370e+01        4.7600e-17     
8.5500e+01        1.8600e-18     
8.5620e+01        1.8600e-17     
8.5630e+01        2.4600e-17     
8.5670e+01        1.5100e-18     
8.5710e+01        2.2000e-17     
8.5720e+01        2.4600e-17     
8.5900e+01        3.3100e-18     
8.5970e+01        1.6000e-18     
8.5980e+01        5.5400e-19     
8.6000e+01        3.8000e-19     
8.6080e+01        8.8400e-18     
8.6130e+01        4.5400e-19     
8.6200e+01        5.8100e-18     
8.6250e+01        6.9000e-19     
8.6330e+01        7.4400e-18     
8.6350e+01        9.3000e-18     
8.6420e+01        5.9900e-19     
8.6500e+01        1.6700e-17     
8.6540e+01        2.8700e-17     
8.6610e+01        6.0700e-19     
8.6650e+01        2.3400e-18     
8.6680e+01        2.2000e-17     
8.6700e+01        3.8000e-17     
8.6810e+01        1.9700e-17     
8.7000e+01        5.2900e-19     
8.7090e+01        2.2700e-17     
8.7150e+01        3.1300e-17     
8.7170e+01        4.0900e-17     
8.7320e+01        2.6200e-18     
8.7420e+01        4.5400e-19     
8.7500e+01        2.7500e-19     
8.7550e+01        1.1200e-17     
8.7620e+01        4.1700e-17     
8.7650e+01        2.6400e-17     
8.7740e+01        1.3400e-17     
8.7830e+01        5.6200e-18     
8.7900e+01        1.8200e-18     
8.7920e+01        5.5800e-18     
8.7960e+01        6.7000e-18     
8.8020e+01        5.6200e-19     
8.8100e+01        4.4700e-17     
8.8110e+01        4.1700e-17     
8.8200e+01        8.1900e-18     
8.8260e+01        1.4900e-17     
8.8270e+01        2.1600e-17     
8.8390e+01        7.4400e-18     
8.8500e+01        3.5700e-19     
8.8580e+01        9.2300e-18     
8.8600e+01        2.2000e-17     
8.8630e+01        1.9400e-17     
8.8640e+01        7.5200e-18     
8.8690e+01        2.5300e-17     
8.8700e+01        1.6700e-17     
8.8830e+01        4.8400e-19     
8.8890e+01        1.0800e-17     
8.8920e+01        9.2700e-18     
8.9050e+01        4.1700e-19     
8.9110e+01        8.5600e-18     
8.9220e+01        1.2300e-17     
8.9300e+01        1.9000e-18     
8.9320e+01        4.3200e-19     
8.9400e+01        9.6000e-18     
8.9550e+01        4.3900e-19     
8.9620e+01        1.3800e-17     
8.9720e+01        3.3000e-17     
8.9830e+01        5.1700e-18     
8.9900e+01        9.3000e-18     
8.9930e+01        1.3000e-17     
8.9980e+01        8.9300e-18     
9.0050e+01        5.4300e-19     
9.0080e+01        1.9000e-18     
9.0120e+01        9.6800e-18     
9.0130e+01        1.1900e-17     
9.0230e+01        5.6600e-19     
9.0250e+01        1.3400e-17     
9.0300e+01        1.1100e-17     
9.0360e+01        1.6700e-17     
9.0400e+01        5.8100e-19     
9.0470e+01        1.6700e-17     
9.0500e+01        1.0000e-17     
9.0700e+01        6.1800e-19     
9.0760e+01        8.9300e-18     
9.0800e+01        7.4400e-18     
9.0970e+01        1.1500e-18     
9.1000e+01        6.1400e-19     
9.1060e+01        1.3400e-17     
9.1080e+01        5.5800e-18     
9.1180e+01        2.2300e-18     
9.1200e+01        7.6300e-19     
9.1260e+01        3.5700e-17     
9.1270e+01        6.9200e-17     
9.1600e+01        1.9000e-19     
9.1640e+01        1.9700e-17     
9.1770e+01        1.1100e-17     
9.1920e+01        1.0800e-18     
9.1930e+01        4.2100e-19     
9.2000e+01        2.8100e-17     
9.2130e+01        9.3000e-18     
9.2200e+01        1.3000e-18     
9.2280e+01        2.2300e-17     
9.2300e+01        1.1100e-17     
9.2500e+01        6.4800e-19     
9.2610e+01        8.5600e-18     
9.2700e+01        4.4700e-18     
9.2770e+01        2.6100e-19     
9.2820e+01        7.8200e-19     
9.2870e+01        3.3500e-17     
9.2900e+01        7.3700e-17     
9.3150e+01        5.9500e-19     
9.3190e+01        4.4700e-18     
9.3250e+01        3.7200e-18     
9.3430e+01        5.5800e-20     
9.3450e+01        5.2100e-19     
9.3500e+01        3.6500e-18     
9.3530e+01        3.3500e-18     
9.3700e+01        5.2100e-20     
9.3790e+01        1.0800e-17     
9.3850e+01        6.7000e-17     
9.3880e+01        9.1600e-17     
9.3990e+01        3.0100e-17     
9.4050e+01        3.8000e-19     
9.4250e+01        1.9000e-17     
9.4550e+01        8.2000e-19     
9.4620e+01        4.8400e-18     
9.4670e+01        5.5800e-18     
9.4750e+01        5.5800e-19     
9.4800e+01        7.6300e-20     
9.4920e+01        6.1000e-18     
9.5000e+01        5.7700e-20     
9.5020e+01        3.7200e-19     
9.5120e+01        4.7600e-20     
9.5200e+01        1.0400e-19     
9.5300e+01        2.0800e-19     
9.5400e+01        7.4400e-20     
9.5450e+01        4.1700e-20     
9.5510e+01        1.6000e-17     
9.5550e+01        1.8600e-18     
9.5700e+01        1.0800e-18     
9.5800e+01        1.8600e-17     
9.5820e+01        4.1700e-17     
9.5880e+01        3.0100e-17     
9.5930e+01        9.4900e-20     
9.6000e+01        2.9400e-17     
9.6030e+01        7.0700e-17     
9.6350e+01        1.6000e-19     
9.6500e+01        1.3400e-18     
9.6550e+01        4.8400e-17     
9.6580e+01        1.0000e-16     
9.7000e+01        5.2100e-19     
9.7250e+01        2.5100e-16     
9.7600e+01        9.4900e-20     
9.7700e+01        6.8900e-20     
9.7800e+01        5.4700e-17     
9.7910e+01        8.3700e-17     
9.8570e+01        1.6000e-17     
9.8750e+01        2.9800e-18     
9.8980e+01        1.6700e-19     
9.9150e+01        7.4400e-20     
9.9190e+01        1.7900e-17     
9.9700e+01        1.8600e-19     
1.0000e+02        3.7200e-19     
1.0080e+02        6.0000e-20     
1.0257e+02        1.0000e-21     
1.0319e+02        7.0000e-22     
1.0376e+02        7.0000e-22     
