   alt                        press                      den                        temp                       eddy                       H2SO4aer                   C2H2aer                    C2H4aer                    C2H6aer                    HCNaer                     C4H4aer                    CH3CNaer                   HCCCNaer                   N2Oaer                     NH3aer                     S8aer                      HCaer1                     HCaer2                     HCaer3                     He                         H                          H2                         H2O                        OH                         O                          O2                         CO                         HCO                        H2CO                       C                          CH                         CH2                        CH3                        CH4                        S                          S2                         S3                         S4                         H2S                        HS                         SO                         SO2                        CS                         CS2                        OCS                        CN                         HCN                        N                          N2                         NH                         NH2                        NH3                        C2                         C2H                        C2H2                       C2H4                       NO                         HNO                        HO2                        HNCO                       N2O                        H2O2                       O3                         NO2                        NO3                        SO3                        HNO2                       HNO3                       H2SO4                      HCl                        Cl                         Cl2                        HOCl                       N2H4                       ClO                        C2H6                       CH3OH                      CH2CO                      CH3CHO                     C3H4                       C3H6                       C4H2                       C4H4                       OClO                       HCS                        C2H3                       C2H5                       NCO                        1CH2                       HCCO                       NNH                        HSO                        CH3O                       H2COH                      H2CN                       N2H2                       C4H                        HCNOH                      C2H2OH                     CH3CO                      CH2CHO                     C2H3OH                     C2H4OH                     CH3O2                      HSO3                       N2H3                       NH2CO                      HS4                        C4H3                       CH2N2                      CH2CN                      CH3CN                      HCCCN                      H2SO4aer_r                 C2H2aer_r                  C2H4aer_r                  C2H6aer_r                  HCNaer_r                   C4H4aer_r                  CH3CNaer_r                 HCCCNaer_r                 N2Oaer_r                   NH3aer_r                   S8aer_r                    HCaer1_r                   HCaer2_r                   HCaer3_r                   
   2.50000000000000000E-001   6.15472280553240429E-003   2.12278466369782688E+017   2.09999989999999997E+002   1.00000000000000000E+006   1.19588049213321755E-006   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.22637236278953826E-022   9.99999999999999929E-041   3.25017146505157117E-036   9.99999999999999929E-041   1.00189445365949879E-040   5.75287867578823977E-013   6.49599496410977810E-006   1.00000000000000005E-004   1.37877249138844440E-013   1.92905775666327336E-010   1.25484628264530842E-003   6.48387830815210951E-004   1.42370133279653580E-018   2.68683579053705188E-021   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.03444015266995737E-034   9.87515980586006746E-029   1.09434860666686228E-015   5.92370887617627806E-013   2.43616935429160353E-019   1.27378956264688770E-018   8.29145038791646296E-010   3.17672150138541689E-011   7.39195821390554491E-010   7.71281027160277052E-009   3.94417245838128691E-038   9.99999999999999929E-041   1.46848869516418601E-012   9.99999999999999929E-041   1.30421978457490310E-018   6.38931454925821972E-027   2.59999999999999988E-002   4.86784280277591719E-026   2.65326514820028877E-027   5.92495085138708045E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.79841938261343826E-010   5.35096549757877178E-016   5.16008617780109984E-010   1.11178076260809202E-021   4.08953699175188853E-013   3.30787473757360052E-011   6.77284448622798682E-009   1.08422122704072494E-010   5.60327207399190642E-014   7.47081556240298089E-017   1.94035174903171953E-011   6.51470499906925859E-013   6.78260140458252788E-012   1.41323801890896784E-009   2.38992596727525221E-014   1.19956330724511091E-017   6.85809478319307861E-013   9.99999999999999929E-041   1.67998256532507507E-007   9.99999999999999929E-041   1.85106363306516816E-029   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.89313104265727464E-008   1.65902546621866981E-036   9.99999999999999929E-041   9.99999999999999929E-041   1.53248431719037340E-028   9.99999999999999929E-041   9.99999999999999929E-041   2.79152507471792485E-030   1.53711604035721598E-009   3.97538638399261543E-033   4.07318294993525920E-030   2.10527049567520188E-031   1.64576787102154404E-030   9.99999999999999929E-041   4.83486168265709047E-024   9.99999999999999929E-041   4.53763444943690741E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.29136711141843092E-033   7.42007212441871817E-019   9.99999999999999929E-041   1.97698816668679041E-018   5.45617654657210347E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.52112279579052753E-040   9.99999999999999929E-041   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   7.50000000000000000E-001   5.87330436209470078E-003   2.03931794658190432E+017   2.08599989999999991E+002   1.00000000000000000E+006   1.19588038219231126E-006   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.22636867570172189E-022   9.99999999999999929E-041   3.25016938559099081E-036   9.99999999999999929E-041   1.00189680450248099E-040   6.27857775437284245E-013   6.49601612357512804E-006   8.88636531632207950E-005   1.45713555028075966E-013   2.06377533558561341E-010   1.25484806844245876E-003   6.48390866159965682E-004   1.46254623562058744E-018   2.71158015277159220E-021   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.11555982261347007E-034   9.87516913195416425E-029   1.15678464325286162E-015   6.70712724084766288E-014   7.57854073079557363E-021   3.55054098326693099E-020   8.20426581238258249E-010   3.23082899143640505E-011   7.80304127039196826E-010   7.68191986414663374E-009   4.09600659559126777E-038   9.99999999999999929E-041   1.46553439757224957E-012   9.99999999999999929E-041   1.30422039618795345E-018   7.35465405968791709E-027   2.60000111202542787E-002   4.04521328891503556E-026   2.65583308354014339E-027   5.89715328355339523E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.83025361971359630E-010   5.29145105805429768E-016   5.16705237634334337E-010   1.11175008530292199E-021   4.09037196998027202E-013   3.25703816701053318E-011   6.77928613398293958E-009   1.05254478726863778E-010   5.55113150232778699E-014   8.54132403597993232E-017   1.93989110068354364E-011   6.40983587681208910E-013   6.76094848748469122E-012   1.41375298652194777E-009   2.19582005190459493E-014   1.09262928206703479E-017   6.80116926547082075E-013   9.99999999999999929E-041   1.68047530165734688E-007   9.99999999999999929E-041   1.85062399370224444E-029   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.88829200015947703E-008   1.68736964215038844E-036   9.99999999999999929E-041   9.99999999999999929E-041   1.38850908341132377E-028   9.99999999999999929E-041   9.99999999999999929E-041   2.51842834965715056E-030   1.53542260587351574E-009   4.00160968843378290E-033   3.96676400663952782E-030   1.87985055086679529E-031   1.64593953834211996E-030   9.99999999999999929E-041   4.84908930179805482E-024   9.99999999999999929E-041   3.05665045739164106E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.32416396983200136E-033   7.77682332732063719E-019   9.99999999999999929E-041   1.97698816281864177E-018   5.40103962025243553E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.52112340365388882E-040   9.99999999999999929E-041   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   1.25000000000000000E+000   5.60306392610336428E-003   1.95863073237858464E+017   2.07199990000000014E+002   1.00000000000000000E+006   1.19588022355850028E-006   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.22636496605901433E-022   9.99999999999999929E-041   3.25016569311276979E-036   9.99999999999999929E-041   1.00189925939302634E-040   6.82857015092297780E-013   6.49603721956370694E-006   7.89488998477621304E-005   1.52948875895409534E-013   2.22150952255787158E-010   1.25485129276692027E-003   6.48396799857757153E-004   1.49633738194978979E-018   2.75276280494371568E-021   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.18379328265864032E-034   9.87517852937317130E-029   1.23738148872412234E-015   7.57626892831219792E-015   1.72968582955007275E-022   7.50392953289332550E-022   8.04424256358006639E-010   3.30774902930381887E-011   8.45583426864103567E-010   7.62839003327294553E-009   4.35051845303353780E-038   9.99999999999999929E-041   1.46035927671373712E-012   9.99999999999999929E-041   1.30422104588173058E-018   1.30830952665242500E-026   2.60000227327902081E-002   3.33035741085914355E-026   2.65520671147344634E-027   5.87183541177199634E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.88181738891555397E-010   5.19723330565537819E-016   5.10468234240466623E-010   1.11169559265258909E-021   4.09209062686950436E-013   3.16080223617833803E-011   6.81987808765694412E-009   1.00128720665068352E-010   5.40879334567415338E-014   9.70752664421658446E-017   1.93896484768737986E-011   6.21222371067080628E-013   6.71949896602386050E-012   1.41343036743390701E-009   2.01877275267574543E-014   9.63129928894411820E-018   6.69692744569263141E-013   9.99999999999999929E-041   1.68136146597217750E-007   9.99999999999999929E-041   1.84974842687071406E-029   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.87960098497023038E-008   1.74702265631810400E-036   9.99999999999999929E-041   9.99999999999999929E-041   1.24720820947733885E-028   9.99999999999999929E-041   9.99999999999999929E-041   2.25891106596439948E-030   1.53834063529047887E-009   4.03130356097168907E-033   3.83715860197289846E-030   1.64255854866184765E-031   1.64629603323574339E-030   9.99999999999999929E-041   4.87302414538894849E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.20752907288471579E-033   8.07118735584675251E-019   9.99999999999999929E-041   1.97698817368645761E-018   5.34461366498915959E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.52112454085763291E-040   9.99999999999999929E-041   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   1.75000000000000000E+000   5.34362464677798094E-003   1.88064711593995456E+017   2.05799990000000008E+002   1.00000000000000000E+006   1.19588001671340184E-006   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.22636123619094140E-022   9.99999999999999929E-041   3.25016067119191037E-036   9.99999999999999929E-041   1.00190182365460322E-040   7.41184411097016662E-013   6.49605819232166956E-006   7.01214386550632159E-005   1.59867353182941231E-013   2.40456735752865309E-010   1.25485598475616185E-003   6.48405709243545306E-004   1.52689758611879525E-018   2.80537974688498109E-021   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.26017066643972495E-034   9.87518712483336191E-029   1.33103340795480122E-015   8.74104969202283773E-016   4.07595876147805379E-024   1.46897950249749402E-023   7.82767662855608932E-010   3.39899289986243289E-011   9.29975331230066487E-010   7.55957043972136843E-009   4.69791020068670105E-038   1.03944305014430440E-040   1.45325812347282540E-012   9.99999999999999929E-041   1.30422173472994640E-018   3.61172346021462137E-026   2.60000348627852373E-002   2.71947468743175999E-026   2.66188329926484778E-027   5.87524604667380540E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.94473270859327578E-010   5.07565852862949321E-016   4.99322535208185757E-010   1.11162258193942439E-021   4.09474416232776504E-013   3.02781408009731430E-011   6.89540849139881077E-009   9.38805708871834501E-011   5.20880365427890955E-014   1.09932956541433929E-016   1.93756538043516166E-011   5.94015842442366141E-013   6.66077243140156398E-012   1.41236799403147761E-009   1.85682940720042458E-014   8.37130238521023102E-018   6.55775792891217750E-013   9.99999999999999929E-041   1.68256868039181938E-007   9.99999999999999929E-041   1.84844822794412990E-029   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.86777172192215994E-008   1.84164991712980972E-036   9.99999999999999929E-041   9.99999999999999929E-041   1.11800887595140347E-028   9.99999999999999929E-041   9.99999999999999929E-041   2.01727786345147459E-030   1.54285393629463977E-009   4.06433883085297182E-033   3.69550861038164158E-030   1.42017107108157502E-031   1.64685114486780698E-030   9.99999999999999929E-041   4.90333957893623992E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.13000312878314894E-033   8.32410481141595752E-019   9.99999999999999929E-041   1.97698819694369333E-018   5.28839750027395538E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.52112621658194210E-040   9.99999999999999929E-041   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   2.25000000000000000E+000   5.09462010916252126E-003   1.80529281048830880E+017   2.04399990000000003E+002   1.00000000000000000E+006   1.19587976260194684E-006   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.22635748580264656E-022   9.99999999999999929E-041   3.25015456419325755E-036   9.99999999999999929E-041   1.00190450292090523E-040   8.04000648751810385E-013   6.49607899339458932E-006   6.22620925539932860E-005   1.66800137266253809E-013   2.61474930990972215E-010   1.25486216694554943E-003   6.48417637022132075E-004   1.55615165741705674E-018   2.86667157078318756E-021   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.32537101363821158E-034   9.87519372552619144E-029   1.43556746505236719E-015   1.24942736967127579E-016   2.47590960841451941E-025   6.72174462486698094E-025   7.56674335715655067E-010   3.49660616242373010E-011   1.03139650226868396E-009   7.47915236750165955E-009   5.14758849906368672E-038   1.10810871731349954E-040   1.44430528959827614E-012   9.99999999999999929E-041   1.30422246390215981E-018   1.19066122706194633E-025   2.60000475368847711E-002   2.20462883817191473E-026   2.68610125870151025E-027   5.93073669277530521E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.01273002952039370E-010   4.93345464848685383E-016   4.85270353277050975E-010   1.11153515218042986E-021   4.09838650019163011E-013   2.86791301269580618E-011   7.00162889545042433E-009   8.71347743528994090E-011   4.97875180625514637E-014   1.24273483094409709E-016   1.93568356201039176E-011   5.61391447032335691E-013   6.58755601947108882E-012   1.41065506561509254E-009   1.70836983889867963E-014   7.22506232905985767E-018   6.39603324944952727E-013   9.99999999999999929E-041   1.68404684019691025E-007   9.99999999999999929E-041   1.84673896826048550E-029   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.85329606229152280E-008   1.97582545000156745E-036   9.99999999999999929E-041   9.99999999999999929E-041   1.00012172224031759E-028   9.99999999999999929E-041   9.99999999999999929E-041   1.79603212447279009E-030   1.54630340916879827E-009   4.09908220792761023E-033   3.54787407849405528E-030   1.21888364429497150E-031   1.64761895640774112E-030   9.99999999999999929E-041   4.93759762195599546E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.95159884309996328E-033   8.55557426826791372E-019   9.99999999999999929E-041   1.97698823065788048E-018   5.23238859666265631E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.52112843867954704E-040   9.99999999999999929E-041   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   2.75000000000000000E+000   4.85569411120518636E-003   1.73249512388487456E+017   2.02999989999999997E+002   1.00000000000000000E+006   1.19587946258157313E-006   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.22635371459159801E-022   9.99999999999999929E-041   3.25014757650271911E-036   9.99999999999999929E-041   1.00190730315617342E-040   8.72271598161127307E-013   6.49609958198093320E-006   5.52650121550652779E-005   1.73979144931553508E-013   2.85395637013991346E-010   1.25486985523655024E-003   6.48432606958995652E-004   1.58519452403150043E-018   2.93518314670555043E-021   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.39285760567133454E-034   9.87519897475873088E-029   1.54955633044748268E-015   4.31124922856757247E-017   1.14711652114125427E-025   4.03515829988822710E-025   7.27079615932111862E-010   3.59442008828569007E-011   1.14879814582132884E-009   7.38909092567824390E-009   5.71893107686446102E-038   1.19783608644229595E-040   1.43345195445305254E-012   9.99999999999999929E-041   1.30422323468657142E-018   3.99312143388478752E-025   2.60000607832979284E-002   1.77579417180139758E-026   2.73745548253881425E-027   6.05992937190923216E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.08170270776353132E-010   4.77631898529391977E-016   4.69656902401554252E-010   1.11143650362215577E-021   4.10307451237292244E-013   2.69049993200631811E-011   7.13393924399949871E-009   8.03000032155959203E-011   4.73622784835445789E-014   1.40377059111951360E-016   1.93330928300783465E-011   5.25268077152893693E-013   6.50261510835487478E-012   1.40837169151392565E-009   1.57212278438567012E-014   6.21165923440763737E-018   6.22202260257597883E-013   9.99999999999999929E-041   1.68576229575263932E-007   9.99999999999999929E-041   1.84463868858171416E-029   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.83650223122369380E-008   2.15528816772424065E-036   9.99999999999999929E-041   9.99999999999999929E-041   8.92401135154495356E-029   9.99999999999999929E-041   9.99999999999999929E-041   1.59534385833644966E-030   1.54691245838365453E-009   4.13736443236884519E-033   3.39869027831654396E-030   1.04025377805400648E-031   1.64861412479732359E-030   9.99999999999999929E-041   4.97402073542310517E-024   9.99999999999999929E-041   2.64812160422543434E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.75035742919533854E-033   8.77821925163032268E-019   9.99999999999999929E-041   1.97698827319813887E-018   5.17654735451414459E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.52113121494636621E-040   9.99999999999999929E-041   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   3.25000000000000000E+000   4.62650044346217017E-003   1.66218293485243328E+017   2.01599989999999991E+002   1.00000000000000000E+006   1.19587911837023610E-006   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.22634992224849050E-022   9.99999999999999929E-041   3.25013987605456064E-036   9.99999999999999929E-041   1.00191023067698734E-040   9.46892772615932596E-013   6.49611992242924115E-006   4.90361040918335645E-005   1.81582604982219503E-013   3.12445939701537053E-010   1.25487906127132371E-003   6.48450633766060967E-004   1.61467698327150850E-018   3.01022848017041417E-021   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.46214816914821109E-034   9.87520331290902760E-029   1.67186312084230164E-015   3.55546342670338375E-017   1.05839145015054055E-025   3.92024639651421210E-025   6.94730870394733573E-010   3.68760528088698147E-011   1.28144849979250411E-009   7.29058995400323377E-009   6.43831407764966649E-038   1.31021274812158781E-040   1.42058390196256236E-012   9.99999999999999929E-041   1.30422404850369823E-018   1.29753347368814548E-024   2.60000746319009220E-002   1.42220007304400991E-026   2.82508468131844285E-027   6.28389780706753714E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.14900257086206321E-010   4.60893184870732617E-016   4.53377313269448536E-010   1.11132915704582746E-021   4.10886825739415875E-013   2.50374236684590223E-011   7.28848601040412874E-009   7.36394086702549487E-011   4.49231993501971703E-014   1.58541099812606543E-016   1.93043185594446713E-011   4.87308890478662981E-013   6.40856910432124313E-012   1.40558895220532243E-009   1.44704486353075762E-014   5.32908825569337360E-018   6.04352915400641811E-013   9.99999999999999929E-041   1.68769358751850315E-007   9.99999999999999929E-041   1.84216674961509245E-029   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.81759747544368032E-008   2.38724190397037122E-036   9.99999999999999929E-041   9.99999999999999929E-041   7.93980204174001600E-029   9.99999999999999929E-041   9.99999999999999929E-041   1.41433599289491234E-030   1.54350368849088320E-009   4.17937488044354593E-033   3.25119083812779899E-030   8.83847314114296558E-032   1.64985207989063374E-030   9.99999999999999929E-041   5.01132478683853691E-024   9.99999999999999929E-041   2.19905386828605797E-037   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.55788024079569138E-033   9.00060780445005640E-019   9.99999999999999929E-041   1.97698832315650894E-018   5.12083073241420399E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.52113455387891698E-040   9.99999999999999929E-041   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   3.75000000000000000E+000   4.40670267155677566E-003   1.59428666919713984E+017   2.00199990000000014E+002   1.00000000000000000E+006   1.19587873199639629E-006   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.22634610845704881E-022   9.99999999999999929E-041   3.25013159909363274E-036   9.99999999999999929E-041   1.00191329217565725E-040   1.02877311314081986E-012   6.49613998252297839E-006   4.34916547832403920E-005   1.89765275408288991E-013   3.42894008098616296E-010   1.25488979512755768E-003   6.48471729715483208E-004   1.64502441491883966E-018   3.09158227630489644E-021   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.53376620919844040E-034   9.87520704496331924E-029   1.80143963143101381E-015   3.61060012169906902E-017   1.05388804263572259E-025   3.86514122742800900E-025   6.60250041125787377E-010   3.77221138155976396E-011   1.42857199850105792E-009   7.18462830461547520E-009   7.33906428514978152E-038   1.44752077740468441E-040   1.40555884905710726E-012   9.99999999999999929E-041   1.30422490691581958E-018   4.03914406775489688E-024   2.60000891143475008E-002   1.13326266618803477E-026   2.95799935491563967E-027   6.62436317189090298E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.21294515767363892E-010   4.43516342095138119E-016   4.37041110884672927E-010   1.11121511534368009E-021   4.11583122868705322E-013   2.31429061145947595E-011   7.46219471961413657E-009   6.73201201966711197E-011   4.25422153855725794E-014   1.79101552438441074E-016   1.92704024082126899E-011   4.48869880757681191E-013   6.30784584351638555E-012   1.40236926886388112E-009   1.33225189883256455E-014   4.56748282970208942E-018   5.86616375154279894E-013   9.99999999999999929E-041   1.68982835050264797E-007   9.99999999999999929E-041   1.83934309212591837E-029   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.79669897928940935E-008   2.68072428669226988E-036   9.99999999999999929E-041   9.99999999999999929E-041   7.04199046076665020E-029   9.99999999999999929E-041   9.99999999999999929E-041   1.25170478662007893E-030   1.53528390578700034E-009   4.22527968396686826E-033   3.10768723864130690E-030   7.48235517636158353E-032   1.65134918180682315E-030   9.99999999999999929E-041   5.04859474986344990E-024   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   4.35155090126397793E-033   9.22937575778413339E-019   9.99999999999999929E-041   1.97698837929400299E-018   5.06519424470722544E-020   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.52113846514736453E-040   9.99999999999999929E-041   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
