CO2
wavelength (nm)   cross section (cm2/molecule)
6.9850e+01        1.8200e-17     
6.9900e+01        1.6000e-17     
6.9950e+01        1.7900e-17     
7.0000e+01        1.9700e-17     
7.0050e+01        6.9100e-17     
7.0140e+01        2.0100e-17     
7.0190e+01        2.1900e-17     
7.0230e+01        3.9800e-17     
7.0300e+01        2.1900e-17     
7.0360e+01        2.0900e-17     
7.0410e+01        1.8600e-17     
7.0460e+01        2.1900e-17     
7.0500e+01        2.0800e-17     
7.0580e+01        1.7900e-17     
7.0630e+01        1.9700e-17     
7.0700e+01        8.4400e-17     
7.0760e+01        3.7200e-17     
7.0800e+01        2.1900e-17     
7.0850e+01        1.8200e-17     
7.0900e+01        2.4500e-17     
7.0930e+01        2.1600e-17     
7.0980e+01        2.7900e-17     
7.1060e+01        6.5800e-17     
7.1140e+01        2.9700e-17     
7.1170e+01        2.4200e-17     
7.1200e+01        2.0900e-17     
7.1240e+01        1.8200e-17     
7.1290e+01        1.8600e-17     
7.1330e+01        2.0400e-17     
7.1360e+01        1.8200e-17     
7.1410e+01        1.4500e-17     
7.1460e+01        2.4900e-17     
7.1490e+01        1.9800e-17     
7.1550e+01        1.8600e-17     
7.1600e+01        3.5000e-17     
7.1630e+01        2.6700e-17     
7.1680e+01        2.7200e-17     
7.1750e+01        5.1700e-17     
7.1800e+01        3.1300e-17     
7.1900e+01        3.9800e-17     
7.1940e+01        2.8600e-17     
7.1990e+01        2.4500e-17     
7.2040e+01        3.7200e-17     
7.2080e+01        3.0100e-17     
7.2130e+01        2.0100e-17     
7.2180e+01        4.0900e-17     
7.2230e+01        2.3800e-17     
7.2280e+01        1.7800e-17     
7.2350e+01        2.4100e-17     
7.2400e+01        2.0800e-17     
7.2500e+01        3.2700e-17     
7.2550e+01        4.1600e-17     
7.2620e+01        8.0700e-17     
7.2720e+01        3.8000e-17     
7.2760e+01        5.2800e-17     
7.2800e+01        2.8700e-17     
7.2840e+01        2.3500e-17     
7.2890e+01        1.9700e-17     
7.2940e+01        3.5000e-17     
7.3010e+01        2.2300e-17     
7.3080e+01        1.7100e-17     
7.3160e+01        1.3800e-17     
7.3210e+01        1.7500e-17     
7.3310e+01        1.5300e-17     
7.3360e+01        3.9100e-17     
7.3410e+01        2.1200e-17     
7.3480e+01        4.8400e-17     
7.3510e+01        3.3500e-17     
7.3550e+01        3.9400e-17     
7.3580e+01        2.2300e-17     
7.3620e+01        2.0900e-17     
7.3730e+01        1.4900e-17     
7.3830e+01        1.1500e-17     
7.3910e+01        1.2300e-17     
7.3980e+01        2.1200e-17     
7.4020e+01        1.4900e-17     
7.4070e+01        1.9400e-17     
7.4100e+01        1.9300e-17     
7.4150e+01        5.0200e-17     
7.4200e+01        2.4600e-17     
7.4320e+01        1.6000e-17     
7.4480e+01        1.2700e-17     
7.4510e+01        1.5600e-17     
7.4560e+01        2.9000e-17     
7.4620e+01        2.5300e-17     
7.4700e+01        1.9000e-17     
7.4770e+01        4.9400e-17     
7.4850e+01        2.7200e-17     
7.4950e+01        1.7100e-17     
7.5050e+01        1.3000e-17     
7.5150e+01        4.4900e-17     
7.5250e+01        3.1700e-16     
7.5380e+01        5.1700e-17     
7.5420e+01        6.4700e-17     
7.5470e+01        3.9800e-17     
7.5550e+01        3.2700e-17     
7.5590e+01        3.1600e-17     
7.5700e+01        2.3000e-17     
7.5770e+01        2.0400e-17     
7.5820e+01        2.3400e-17     
7.5860e+01        3.4600e-17     
7.5930e+01        3.1600e-17     
7.5980e+01        2.9700e-17     
7.6050e+01        4.7200e-17     
7.6090e+01        4.4200e-17     
7.6180e+01        4.1700e-17     
7.6240e+01        4.6900e-17     
7.6270e+01        4.4600e-17     
7.6300e+01        4.6100e-17     
7.6340e+01        3.8700e-17     
7.6480e+01        8.2200e-17     
7.6630e+01        5.0900e-17     
7.6700e+01        6.2900e-17     
7.6750e+01        4.8000e-17     
7.6880e+01        2.7900e-17     
7.6930e+01        2.5300e-17     
7.6960e+01        2.5300e-17     
7.7060e+01        2.8700e-17     
7.7130e+01        4.0100e-17     
7.7250e+01        2.5700e-17     
7.7440e+01        3.5400e-17     
7.7550e+01        2.8600e-17     
7.7700e+01        2.4500e-17     
7.7770e+01        3.4900e-17     
7.7900e+01        3.6100e-17     
7.8010e+01        5.0600e-17     
7.8110e+01        3.2700e-17     
7.8300e+01        2.3100e-17     
7.8420e+01        2.0500e-17     
7.8470e+01        2.3400e-17     
7.8600e+01        2.0100e-17     
7.8720e+01        4.0600e-17     
7.8820e+01        2.7200e-17     
7.8920e+01        2.5300e-17     
7.9120e+01        1.9400e-17     
7.9330e+01        2.0500e-17     
7.9510e+01        2.4200e-17     
7.9910e+01        1.8600e-17     
8.0110e+01        2.3100e-17     
8.0300e+01        1.9300e-17     
8.0400e+01        1.9300e-17     
8.0580e+01        1.7100e-17     
8.0720e+01        1.9300e-17     
8.0840e+01        1.8300e-17     
8.0990e+01        1.9400e-17     
8.1230e+01        1.7100e-17     
8.1570e+01        1.6400e-17     
8.1670e+01        1.7900e-17     
8.1820e+01        1.4500e-17     
8.1920e+01        1.5200e-17     
8.2070e+01        1.7100e-17     
8.2180e+01        1.5300e-17     
8.2320e+01        1.3700e-17     
8.2410e+01        1.4900e-17     
8.2620e+01        1.3000e-17     
8.2990e+01        1.2600e-17     
8.3080e+01        1.2300e-17     
8.3320e+01        1.3400e-17     
8.3600e+01        1.3000e-17     
8.4200e+01        1.4100e-17     
8.5000e+01        1.6400e-17     
8.5600e+01        1.7900e-17     
8.6000e+01        2.0500e-17     
8.6600e+01        2.5200e-17     
8.6950e+01        2.8200e-17     
8.7400e+01        3.3100e-17     
8.7600e+01        3.6500e-17     
