CO2 + hv => CO + O1D
wavelength (nm)   quantum yield
7.6480e+01        1.7275e-01     
7.6630e+01        1.1709e-01     
7.6700e+01        1.6534e-01     
7.6750e+01        1.3896e-01     
7.6880e+01        1.0394e-01     
7.6930e+01        8.1818e-02     
7.6960e+01        1.0909e-01     
7.7060e+01        1.1394e-01     
7.7130e+01        1.3192e-01     
7.7250e+01        1.1984e-01     
7.7440e+01        1.4492e-01     
7.7550e+01        1.4301e-01     
7.7700e+01        1.1796e-01     
7.7770e+01        1.3696e-01     
7.7900e+01        9.0305e-02     
7.8010e+01        1.7905e-01     
7.8110e+01        1.5199e-01     
7.8300e+01        1.6320e-01     
7.8420e+01        1.3512e-01     
7.8470e+01        1.2393e-01     
7.8600e+01        1.1891e-01     
7.8720e+01        1.2192e-01     
7.8820e+01        1.4485e-01     
7.8920e+01        1.5613e-01     
7.9120e+01        1.3196e-01     
7.9330e+01        1.3512e-01     
7.9510e+01        1.6281e-01     
7.9910e+01        1.2796e-01     
8.0110e+01        1.7100e-01     
8.0300e+01        1.5026e-01     
8.0400e+01        1.5026e-01     
8.0580e+01        1.3977e-01     
8.0720e+01        1.6010e-01     
8.0840e+01        1.5082e-01     
8.0990e+01        1.4175e-01     
8.1230e+01        1.2924e-01     
8.1570e+01        1.1524e-01     
8.1670e+01        1.0615e-01     
8.1820e+01        8.2759e-02     
8.1920e+01        7.8947e-02     
8.2070e+01        9.9415e-02     
8.2180e+01        9.0196e-02     
8.2320e+01        7.3723e-02     
8.2410e+01        5.8792e-02     
8.2620e+01        5.3231e-02     
8.2990e+01        4.0238e-02     
8.3080e+01        4.1220e-02     
8.3320e+01        3.7836e-02     
8.3600e+01        3.9000e-02     
8.4200e+01        4.9007e-02     
8.5000e+01        7.3171e-02     
8.5600e+01        7.7095e-02     
8.6000e+01        5.8049e-02     
8.6600e+01        5.9921e-02     
8.6950e+01        5.9929e-02     
8.7400e+01        8.2779e-02     
8.7600e+01        7.0137e-02     
8.8000e+01        1.0703e-01     
8.8560e+01        1.3907e-01     
8.8630e+01        1.4991e-01     
8.8800e+01        1.4707e-01     
8.8890e+01        1.4603e-01     
8.8940e+01        1.5603e-01     
8.8990e+01        1.8078e-01     
8.9070e+01        1.7729e-01     
8.9120e+01        2.0804e-01     
8.9160e+01        2.1835e-01     
8.9210e+01        2.1583e-01     
8.9260e+01        2.0393e-01     
8.9360e+01        2.2318e-01     
8.9400e+01        2.1008e-01     
8.9500e+01        2.1963e-01     
8.9570e+01        2.3841e-01     
8.9620e+01        2.2093e-01     
8.9690e+01        2.5513e-01     
8.9740e+01        2.5255e-01     
8.9770e+01        2.5562e-01     
8.9810e+01        2.6750e-01     
8.9900e+01        2.5708e-01     
9.0030e+01        3.3896e-01     
9.0080e+01        4.1495e-01     
9.0110e+01        4.3811e-01     
9.0160e+01        4.5100e-01     
9.0190e+01        4.4935e-01     
9.0240e+01        4.5307e-01     
9.0290e+01        4.5791e-01     
9.0340e+01        4.6339e-01     
9.0370e+01        4.6338e-01     
9.0410e+01        4.6389e-01     
9.0460e+01        4.6355e-01     
9.0490e+01        4.6441e-01     
9.0520e+01        4.6471e-01     
9.0580e+01        4.6457e-01     
9.0610e+01        4.6471e-01     
9.0640e+01        4.6554e-01     
9.0730e+01        4.6699e-01     
9.0830e+01        4.6797e-01     
9.0870e+01        4.6803e-01     
9.0900e+01        4.6914e-01     
9.0940e+01        4.6911e-01     
9.1000e+01        4.6935e-01     
9.1150e+01        4.7300e-01     
9.1300e+01        4.7593e-01     
9.1400e+01        4.7794e-01     
9.1500e+01        4.8000e-01     
9.1600e+01        4.8118e-01     
9.1700e+01        4.8333e-01     
9.1800e+01        4.8588e-01     
9.1900e+01        4.8769e-01     
9.2000e+01        4.8980e-01     
9.2100e+01        4.9149e-01     
9.2200e+01        4.9364e-01     
9.2250e+01        4.9565e-01     
9.2320e+01        4.9571e-01     
9.2400e+01        4.9815e-01     
9.2450e+01        4.9865e-01     
9.2500e+01        5.0000e-01     
9.2600e+01        5.0337e-01     
9.2700e+01        5.0674e-01     
9.2800e+01        5.1064e-01     
9.2900e+01        5.1429e-01     
9.3000e+01        5.2000e-01     
9.3050e+01        5.2308e-01     
9.3150e+01        5.2949e-01     
9.3220e+01        5.3529e-01     
9.3300e+01        5.4054e-01     
9.3350e+01        5.4409e-01     
9.3400e+01        5.4865e-01     
9.3450e+01        5.5254e-01     
9.3500e+01        5.5641e-01     
9.3550e+01        5.6098e-01     
9.3650e+01        5.6892e-01     
