HCN
wavelength (nm)   cross section (cm2/molecule)
1.7385e+02        1.2700e-19     
1.7425e+02        2.2500e-20     
1.7440e+02        9.1900e-20     
1.7515e+02        1.0000e-20     
1.7545e+02        2.3600e-20     
1.7595e+02        6.8300e-21     
1.7625e+02        1.0000e-19     
1.7690e+02        7.9900e-21     
1.7715e+02        5.2600e-20     
1.7745e+02        7.3200e-21     
1.7800e+02        5.2600e-21     
1.7815e+02        1.3300e-20     
1.7855e+02        2.1000e-21     
1.7875e+02        6.5100e-21     
1.7885e+02        5.4000e-21     
1.7895e+02        4.4600e-20     
1.7925e+02        5.1800e-21     
1.7930e+02        8.9700e-21     
1.7970e+02        1.6300e-21     
1.7990e+02        2.0100e-20     
1.8025e+02        1.7500e-21     
1.8050e+02        3.9000e-21     
1.8080e+02        2.6500e-21     
1.8085e+02        7.4500e-21     
1.8125e+02        2.4100e-21     
1.8145e+02        6.2000e-21     
1.8170e+02        2.9000e-21     
1.8185e+02        1.0000e-20     
1.8225e+02        2.4700e-21     
1.8235e+02        4.6000e-21     
1.8265e+02        1.3300e-21     
1.8290e+02        4.9500e-21     
1.8340e+02        1.0500e-21     
1.8360e+02        1.4900e-21     
1.8375e+02        1.1000e-21     
1.8395e+02        3.4100e-21     
1.8410e+02        1.1300e-21     
1.8435e+02        3.3300e-21     
1.8455e+02        1.2400e-21     
1.8485e+02        5.7600e-21     
1.8525e+02        1.4500e-21     
1.8550e+02        2.0100e-21     
1.8590e+02        8.3900e-22     
1.8610e+02        1.5200e-21     
1.8645e+02        5.5300e-22     
1.8660e+02        9.5900e-22     
1.8685e+02        4.4600e-22     
1.8705e+02        1.9100e-21     
1.8725e+02        6.9600e-22     
1.8740e+02        1.5900e-21     
1.8765e+02        4.9500e-22     
1.8805e+02        1.9100e-21     
1.8855e+02        3.3300e-22     
1.8865e+02        4.6000e-22     
1.8900e+02        2.7100e-22     
1.8915e+02        3.3300e-22     
1.8950e+02        2.1500e-22     
1.8980e+02        3.6500e-22     
1.9005e+02        2.7100e-22     
1.9025e+02        5.4000e-22     
1.9050e+02        3.6500e-22     
1.9070e+02        6.8300e-22     
1.9120e+02        2.7100e-22     
1.9145e+02        5.1800e-22     
1.9190e+02        1.6300e-22     
1.9235e+02        1.5600e-22     
1.9255e+02        2.3600e-22     
1.9270e+02        1.5900e-22     
1.9315e+02        1.5900e-22     
1.9325e+02        2.1500e-22     
1.9365e+02        1.5600e-22     
1.9395e+02        2.1000e-22     
1.9410e+02        1.7100e-22     
1.9430e+02        2.1500e-22     
1.9470e+02        1.5600e-22     
1.9500e+02        1.7900e-22     
